Date,Open,High,Low,Close,Volume,volume_outlier,volume_zero_flag,days_since_prev,gap_flag
2018-05-25,5957.42578125,6003.244140625,5949.52197265625,5975.7421875,58672900,False,False,1.0,False
2018-05-28,5979.6201171875,6080.5068359375,5977.00390625,6068.3251953125,66767100,False,False,3.0,False
2018-05-30,6037.43408203125,6095.828125,6001.8017578125,6011.05517578125,76998100,False,False,2.0,False
2018-05-31,6037.26220703125,6055.01513671875,5934.80419921875,5983.5869140625,91923400,False,False,1.0,False
2018-06-04,6004.119140625,6032.9931640625,6001.201171875,6014.81884765625,77906000,False,False,4.0,False
2018-06-05,6031.3701171875,6088.7900390625,6025.55712890625,6088.7900390625,71163800,False,False,1.0,False
2018-06-06,6083.9208984375,6096.72314453125,6063.3349609375,6069.712890625,68433200,False,False,1.0,False
2018-06-07,6090.97509765625,6116.43310546875,6077.85595703125,6106.6982421875,61086000,False,False,1.0,False
2018-06-08,6083.33203125,6096.6572265625,5987.3291015625,5993.626953125,53952100,False,False,1.0,False
2018-06-20,5941.7939453125,5947.7841796875,5834.134765625,5884.0390625,62441700,False,False,12.0,True
2018-06-21,5890.06494140625,5922.7021484375,5815.453125,5822.3330078125,51405000,False,False,1.0,False
2018-06-22,5820.18798828125,5837.65283203125,5787.68212890625,5821.81201171875,58773500,False,False,1.0,False
2018-06-25,5850.31396484375,5891.48193359375,5801.59423828125,5859.0830078125,54948400,False,False,3.0,False
2018-06-26,5831.59521484375,5878.037109375,5820.751953125,5825.64892578125,59068400,False,False,1.0,False
2018-06-27,5832.5849609375,5859.60302734375,5787.5517578125,5787.5517578125,55552900,False,False,1.0,False
2018-06-28,5791.5830078125,5801.34912109375,5661.0078125,5667.31884765625,60061700,False,False,1.0,False
2018-06-29,5691.68603515625,5799.23681640625,5682.658203125,5799.23681640625,65331400,False,False,1.0,False
2018-07-02,5828.4951171875,5832.22216796875,5746.77001953125,5746.77001953125,48029600,False,False,3.0,False
2018-07-03,5737.35498046875,5752.31787109375,5630.10009765625,5633.93701171875,49554000,False,False,1.0,False
2018-07-04,5640.56298828125,5738.92578125,5557.55810546875,5733.63916015625,56623500,False,False,1.0,False
2018-07-05,5727.912109375,5739.33203125,5685.751953125,5739.33203125,51660500,False,False,1.0,False
2018-07-06,5733.130859375,5743.35986328125,5694.912109375,5694.912109375,46286700,False,False,1.0,False
2018-07-09,5719.85693359375,5815.44677734375,5716.39404296875,5807.375,52683800,False,False,3.0,False
2018-07-10,5839.0361328125,5888.5927734375,5829.68115234375,5881.759765625,53761000,False,False,1.0,False
2018-07-11,5842.990234375,5897.95703125,5822.751953125,5893.35888671875,62397700,False,False,1.0,False
2018-07-12,5873.048828125,5931.51904296875,5873.048828125,5907.8720703125,57014300,False,False,1.0,False
2018-07-13,5908.47802734375,5961.3369140625,5908.47802734375,5944.07421875,54856000,False,False,1.0,False
2018-07-16,5941.912109375,5956.796875,5847.3408203125,5905.158203125,46500100,False,False,3.0,False
2018-07-17,5881.791015625,5884.7998046875,5840.93701171875,5861.5078125,52518200,False,False,1.0,False
2018-07-18,5868.87109375,5899.65283203125,5858.97509765625,5890.73095703125,69005100,False,False,1.0,False
2018-07-19,5902.02587890625,5920.92919921875,5857.14306640625,5871.0771484375,61506700,False,False,1.0,False
2018-07-20,5867.80810546875,5884.6337890625,5842.93017578125,5872.7841796875,56088500,False,False,1.0,False
2018-07-23,5886.51611328125,5928.080078125,5884.97607421875,5915.7958984375,51917100,False,False,3.0,False
2018-07-24,5934.408203125,5945.85009765625,5925.0498046875,5931.841796875,59374900,False,False,1.0,False
2018-07-25,5941.1298828125,5947.501953125,5923.2001953125,5933.88916015625,84148200,False,False,1.0,False
2018-07-26,5949.6572265625,5967.59521484375,5928.7431640625,5946.13623046875,82412300,False,False,1.0,False
2018-07-27,5947.35595703125,5992.05322265625,5947.06005859375,5989.13623046875,65570700,False,False,1.0,False
2018-07-30,5998.09716796875,6027.93603515625,5994.0791015625,6027.93603515625,72156300,False,False,3.0,False
2018-07-31,6012.9267578125,6013.86376953125,5910.52880859375,5936.44287109375,86530400,False,False,1.0,False
2018-08-01,5952.93896484375,6034.548828125,5945.44287109375,6033.4189453125,59853600,False,False,1.0,False
2018-08-02,6039.5869140625,6055.06689453125,6011.72314453125,6011.72314453125,77818300,False,False,1.0,False
2018-08-03,6014.796875,6023.47509765625,5994.04296875,6007.5380859375,57227000,False,False,1.0,False
2018-08-06,6025.60693359375,6102.5390625,6025.42578125,6101.130859375,66226000,False,False,3.0,False
2018-08-07,6100.0029296875,6113.9912109375,6079.47998046875,6091.25,60294800,False,False,1.0,False
2018-08-08,6110.8408203125,6117.29296875,6081.6337890625,6094.8291015625,64676700,False,False,1.0,False
2018-08-09,6084.751953125,6105.91796875,6055.26904296875,6065.255859375,62375600,False,False,1.0,False
2018-08-10,6084.8017578125,6107.69580078125,6059.98876953125,6077.1728515625,52870700,False,False,1.0,False
2018-08-13,6029.46923828125,6034.56005859375,5861.24609375,5861.24609375,60906300,False,False,3.0,False
2018-08-14,5850.71923828125,5890.98876953125,5744.5751953125,5769.873046875,56998100,False,False,1.0,False
2018-08-15,5782.3818359375,5819.64208984375,5689.93603515625,5816.58984375,62023800,False,False,1.0,False
2018-08-16,5788.06298828125,5811.625,5743.4951171875,5783.7978515625,53443300,False,False,1.0,False
2018-08-20,5833.5390625,5919.33203125,5833.5390625,5892.19189453125,55005100,False,False,4.0,False
2018-08-21,5899.2978515625,5953.9072265625,5899.2978515625,5944.30078125,59014700,False,False,1.0,False
2018-08-23,5962.10107421875,5991.298828125,5934.2900390625,5982.98486328125,53558900,False,False,2.0,False
2018-08-24,5975.4150390625,5993.60498046875,5949.60791015625,5968.75,49474100,False,False,1.0,False
2018-08-27,5993.76318359375,6025.9677734375,5993.703125,6025.9677734375,65676000,False,False,3.0,False
2018-08-28,6042.89111328125,6065.25390625,6023.22119140625,6042.64990234375,59104800,False,False,1.0,False
2018-08-29,6025.60205078125,6065.14892578125,6003.494140625,6065.14892578125,63016700,False,False,1.0,False
2018-08-30,6075.27001953125,6086.94384765625,6013.373046875,6018.9638671875,58498700,False,False,1.0,False
2018-08-31,5984.9619140625,6018.4599609375,5940.64892578125,6018.4599609375,59513900,False,False,1.0,False
2018-09-03,6025.4111328125,6026.9150390625,5954.92822265625,5967.5791015625,44310800,False,False,3.0,False
2018-09-04,5974.76318359375,5978.72998046875,5889.09521484375,5905.30078125,53980900,False,False,1.0,False
2018-09-05,5868.77587890625,5868.77587890625,5621.60400390625,5683.5009765625,71761700,False,False,1.0,False
2018-09-06,5661.9638671875,5786.6650390625,5660.865234375,5776.09521484375,57940400,False,False,1.0,False
2018-09-07,5780.80615234375,5851.46484375,5769.251953125,5851.46484375,54320700,False,False,1.0,False
2018-09-10,5835.3759765625,5840.8671875,5776.01513671875,5831.1171875,53873400,False,False,3.0,False
2018-09-12,5839.31494140625,5870.59912109375,5798.15087890625,5798.15087890625,61414500,False,False,2.0,False
2018-09-13,5834.76513671875,5865.06884765625,5834.76513671875,5858.27392578125,66435500,False,False,1.0,False
2018-09-14,5870.98486328125,5931.28076171875,5870.98486328125,5931.28076171875,56571400,False,False,1.0,False
2018-09-17,5908.42578125,5911.65283203125,5811.919921875,5824.2568359375,59608300,False,False,3.0,False
2018-09-18,5818.72021484375,5844.951171875,5781.2890625,5811.7900390625,70975800,False,False,1.0,False
2018-09-19,5835.794921875,5882.66015625,5835.794921875,5873.59716796875,69601100,False,False,1.0,False
2018-09-20,5898.48193359375,5941.01513671875,5897.59814453125,5931.26611328125,70876500,False,False,1.0,False
2018-09-21,5956.4990234375,5975.169921875,5935.0380859375,5957.744140625,86255700,False,False,1.0,False
2018-09-24,5958.56787109375,5958.56787109375,5876.64892578125,5882.22021484375,68687600,False,False,3.0,False
2018-09-25,5875.158203125,5895.02001953125,5850.75,5874.298828125,65935500,False,False,1.0,False
2018-09-26,5871.55810546875,5908.5888671875,5870.2998046875,5873.27099609375,75063400,False,False,1.0,False
2018-09-27,5871.43505859375,5931.72412109375,5870.5380859375,5929.2158203125,59721100,False,False,1.0,False
2018-09-28,5930.60498046875,5976.55322265625,5930.60498046875,5976.55322265625,62677100,False,False,1.0,False
2018-10-01,5950.85791015625,5982.06494140625,5944.60107421875,5944.60107421875,60605000,False,False,3.0,False
2018-10-02,5947.25,5956.77783203125,5862.955078125,5875.619140625,87701600,False,False,1.0,False
2018-10-03,5874.4951171875,5921.56689453125,5848.162109375,5867.73681640625,72943100,False,False,1.0,False
2018-10-04,5847.59912109375,5847.59912109375,5742.30810546875,5756.619140625,87537800,False,False,1.0,False
2018-10-05,5738.59423828125,5758.27001953125,5706.39892578125,5731.93505859375,64862100,False,False,1.0,False
2018-10-08,5728.6982421875,5794.43212890625,5728.63818359375,5761.0732421875,73665700,False,False,3.0,False
2018-10-09,5771.9169921875,5796.7900390625,5756.2421875,5796.7900390625,64525600,False,False,1.0,False
